"year","DOY","Date","Rain","Tair","RH","RAD","Pressure","WindSpeed","CO2","DegreeDays","PAR","FDiff","VPD","Tmax","Tmin"
NA,157,"1980-06-05",61.87,20.94,86.362,14.777,898.311,1.028,338.36,10.94,7.093,0.42,3.641,27.13,17.08
NA,158,"1980-06-06",31.91,21.08,80.647,17.864,898.414,0.844,338.36,11.08,8.575,0.382,5.217,26.39,17.49
NA,159,"1980-06-07",0,21.183,88.728,20.149,898.007,0.817,338.36,11.183,9.672,0.342,3.17,26.04,16.77
NA,160,"1980-06-08",4.17,22.42,91.056,18.506,897.371,0.78,338.36,12.42,8.883,0.376,2.759,27.16,19.77
NA,161,"1980-06-09",5.32,22.474,90.651,18.449,898.304,0.777,338.36,12.474,8.855,0.374,2.851,26.87,19.88
NA,162,"1980-06-10",0.26,21.766,88.834,11.187,898.926,0.601,338.36,11.766,5.37,0.479,3.144,26.19,18.72
NA,163,"1980-06-11",0.65,20.594,85.745,12.521,898.216,0.857,338.36,10.594,6.01,0.443,3.628,25.85,18.02
NA,164,"1980-06-12",0.34,20.743,88.573,11.087,898.446,0.739,338.36,10.743,5.322,0.462,2.916,25.8,17.41
NA,165,"1980-06-13",74.97,19.828,90.439,7.189,899.429,0.615,338.36,9.828,3.451,0.509,2.301,23.5,17.15
NA,166,"1980-06-14",1.31,20.753,83.44,14.558,899.111,0.732,338.36,10.753,6.988,0.431,4.373,27.42,17.17
NA,167,"1980-06-15",0.21,21.887,84.638,16.833,899.068,0.849,338.36,11.887,8.08,0.386,4.453,27.6,17.27
NA,168,"1980-06-16",0.07,22.435,85.94,21.635,898.576,0.876,338.36,12.435,10.385,0.318,4.168,27.37,17.35
NA,169,"1980-06-17",0.26,21.614,87.842,16.847,897.895,0.821,338.36,11.614,8.086,0.387,3.354,27.09,18.09
NA,170,"1980-06-18",8.09,20.928,85.28,14.977,897.215,0.758,338.36,10.928,7.189,0.436,4.008,26.84,17.21
NA,171,"1980-06-19",44.78,20.491,86.872,19.167,897.301,0.926,338.36,10.491,9.2,0.358,3.53,26.92,16.22
NA,172,"1980-06-20",5.57,20.483,86.598,17.769,897.746,0.795,338.36,10.483,8.529,0.379,3.508,26.67,16.16
NA,173,"1980-06-21",2.14,20.301,87.306,15.48,898.091,0.896,338.36,10.301,7.43,0.425,3.21,25.59,16.93
NA,174,"1980-06-22",3.01,20.851,83.981,16.534,898.193,0.87,338.36,10.851,7.936,0.391,4.241,26.37,16.09
NA,175,"1980-06-23",2.34,21.122,85.191,21.885,898.345,0.92,338.36,11.122,10.505,0.322,4.072,27.55,16.82
NA,176,"1980-06-24",45.49,20.938,85.997,19.695,898.447,0.948,338.36,10.938,9.454,0.347,3.973,27.97,16.74
NA,177,"1980-06-25",1.84,20.873,85.209,17.829,898.175,0.818,338.36,10.873,8.558,0.363,3.94,26.69,16.89
NA,178,"1980-06-26",1.17,21.21,87.729,15.374,898.413,0.76,338.36,11.21,7.379,0.422,3.302,25.77,16.87
NA,179,"1980-06-27",0.06,22.613,84.102,23.772,898.516,0.944,338.36,12.613,11.411,0.287,4.871,27.92,18.05
NA,180,"1980-06-28",7.56,21.329,82.249,18.355,898.486,0.78,338.36,11.329,8.81,0.361,5.224,28.51,17.58
NA,181,"1980-06-29",54.45,21.3,82.217,16.679,897.501,0.883,338.36,11.3,8.006,0.404,4.815,26.36,18.22
NA,182,"1980-06-30",0,21.741,82.392,20.801,897.175,0.846,338.36,11.741,9.984,0.335,4.993,27.38,16.28
NA,183,"1980-07-01",9.78,20.272,87.966,11.927,898.66,0.623,338.36,10.272,5.725,0.451,3.176,25.92,17.52
NA,184,"1980-07-02",0.72,19.976,88.53,12.198,898.66,0.55,338.36,9.976,5.855,0.471,2.919,24.65,16.17
NA,185,"1980-07-03",2.46,20.397,88.73,14.323,898.66,0.526,338.36,10.397,6.875,0.421,2.993,25.33,17.14
NA,186,"1980-07-04",0.62,21.696,87.722,21.614,898.66,0.549,338.36,11.696,10.375,0.329,3.843,28.24,17.19
NA,187,"1980-07-05",0.19,22.507,84.249,24.699,898.66,0.795,338.36,12.507,11.856,0.253,4.962,28.79,17.69
NA,188,"1980-07-06",0,21.822,82.499,16.72,898.66,0.672,338.36,11.822,8.026,0.39,5.103,27.99,16.93
NA,189,"1980-07-07",0.57,22.179,83.804,17.344,898.66,0.672,338.36,12.179,8.325,0.376,4.71,27.17,17.66
NA,190,"1980-07-08",0,22.795,84.34,24.048,898.66,0.842,338.36,12.795,11.543,0.274,5.059,28.46,17.42
NA,191,"1980-07-09",0.19,21.072,87.475,11.505,898.66,0.579,338.36,11.072,5.522,0.47,3.418,27.11,17.73
NA,192,"1980-07-10",0,22.127,84.857,17.379,898.66,0.721,338.36,12.127,8.342,0.397,4.544,28.56,18.47
NA,193,"1980-07-11",33.25,21.18,88.441,14.818,898.66,0.607,338.36,11.18,7.113,0.429,3.343,26.45,17.77
NA,194,"1980-07-12",12.23,19.889,85.323,11.323,898.66,0.672,338.36,9.889,5.435,0.472,3.848,25.84,16.94
NA,195,"1980-07-13",14.69,18.663,89.68,8.458,898.66,0.421,338.36,8.663,4.06,0.488,2.394,25.99,16.08
NA,196,"1980-07-14",8.79,18.932,85.993,15.202,898.66,0.548,338.36,8.932,7.297,0.419,3.35,25.65,15.69
NA,197,"1980-07-15",40.51,18.361,95.77,6.136,898.66,0.285,338.36,8.361,2.945,0.514,0.936,22.11,17.15
NA,198,"1980-07-16",4.78,19.586,94.449,8.11,898.66,0.326,338.36,9.586,3.893,0.498,1.347,23.42,17.31
NA,199,"1980-07-17",60.77,20.134,90.249,14.947,898.66,0.667,338.36,10.134,7.174,0.429,2.655,26.5,15.56
NA,200,"1980-07-18",0.95,20.428,89.964,15.045,898.66,0.397,338.36,10.428,7.222,0.402,2.762,27.95,16.81
NA,201,"1980-07-19",0.38,22.052,83.625,23.134,898.66,0.781,338.36,12.052,11.104,0.301,4.991,28.16,16.27
NA,202,"1980-07-20",0.19,21.922,84.013,19.329,898.66,0.695,338.36,11.922,9.278,0.347,4.775,27.45,16.98
NA,203,"1980-07-21",31.32,22.317,85.825,16.639,898.66,0.643,338.36,12.317,7.987,0.375,4.434,27.81,18.78
NA,204,"1980-07-22",8.02,20.13,89.781,6.431,898.66,0.452,338.36,10.13,3.087,0.495,2.562,24.69,16.98
NA,205,"1980-07-23",8.6,20.526,87.824,12.956,898.66,0.522,338.36,10.526,6.219,0.448,3.26,25.42,18.04
NA,206,"1980-07-24",1.01,20.547,84.435,12.518,898.66,0.418,338.36,10.547,6.009,0.453,3.946,26.6,15.28
NA,207,"1980-07-25",0.71,21.09,87.725,14.346,898.66,0.56,338.36,11.09,6.886,0.443,3.262,25.71,16.88
NA,208,"1980-07-26",0.28,21.597,85.906,16.956,898.66,0.536,338.36,11.597,8.139,0.362,3.952,26.46,18.2
NA,209,"1980-07-27",0,21.784,84.946,18.43,898.66,0.541,338.36,11.784,8.846,0.362,4.379,27.5,17.98
NA,210,"1980-07-28",2.68,21.355,87.361,14.321,898.66,0.484,338.36,11.355,6.874,0.404,3.523,27.24,18.18
NA,211,"1980-07-29",4.07,19.282,91.784,7.97,898.66,0.213,338.36,9.282,3.826,0.51,1.908,24.21,16.31
NA,212,"1980-07-30",10.93,19.673,85.892,17.052,898.66,0.62,338.36,9.673,8.185,0.387,3.747,25.88,14.6
NA,213,"1980-07-31",14.59,19.881,89.523,12.752,898.66,0.422,338.36,9.881,6.121,0.451,2.872,26.27,16.97
NA,214,"1980-08-01",1.09,19.615,91.033,14.096,897.739,0.659,338.36,9.615,6.766,0.431,2.3,23.88,16.73
NA,215,"1980-08-02",0.85,19.575,90.374,24.338,897.806,0.649,338.36,9.575,11.682,0.272,2.522,24.61,17.2
NA,216,"1980-08-03",11.85,19.877,89.874,11.599,897.105,0.375,338.36,9.877,5.568,0.478,2.664,26.8,16.6
NA,217,"1980-08-04",0,19.6,90.393,20.76,896.919,0.582,338.36,9.6,9.965,0.326,2.498,24.23,16.96
NA,218,"1980-08-05",0,18.115,96.628,22.776,896.466,0.72,338.36,8.115,10.933,0.288,0.703,21.15,16.73
NA,219,"1980-08-06",4.61,19.424,92.049,25.139,896.549,0.858,338.36,9.424,12.067,0.246,2.004,23.51,16.3
NA,220,"1980-08-07",4.56,19.911,90.351,18.139,896.012,0.688,338.36,9.911,8.707,0.382,2.571,24.83,15.93
NA,221,"1980-08-08",13.03,19.947,93.217,22.243,895.264,0.634,338.36,9.947,10.676,0.316,1.699,24.17,18.32
NA,222,"1980-08-09",0,17.798,96.656,14.303,895.198,0.484,338.36,7.798,6.866,0.438,0.681,18.91,16.75
NA,223,"1980-08-10",9.07,17.635,96.82,15.912,894.828,0.479,338.36,7.635,7.638,0.423,0.66,20.85,16.19
NA,224,"1980-08-11",17.69,18.555,88.04,11.525,895.758,0.363,338.36,8.555,5.532,0.474,2.728,22.07,15.45
NA,225,"1980-08-12",3.26,18.706,85.881,23.165,896.288,0.715,338.36,8.706,11.119,0.295,3.427,25.03,14.67
NA,226,"1980-08-13",0,20.42,83.168,8.779,896.247,0.318,338.36,10.42,4.214,0.497,4.895,26.54,15.52
NA,227,"1980-08-14",6.74,19.317,89.023,25.628,896.555,0.892,338.36,9.318,12.302,0.244,2.814,25.63,15.75
NA,228,"1980-08-15",4.19,19.947,83.904,15.161,896.11,0.51,338.36,9.947,7.277,0.422,4.528,26.3,15.41
NA,229,"1980-08-16",73.98,19.976,83.09,21.677,896.396,0.651,338.36,9.976,10.405,0.318,4.766,25.94,14.33
NA,230,"1980-08-17",0.17,20.228,81.608,17.9,897.807,0.554,338.36,10.228,8.592,0.374,5.354,26.23,15.32
NA,231,"1980-08-18",0,20.159,81.307,10.155,897.506,0.549,338.36,10.159,4.875,0.49,5.317,26.5,13.91
NA,232,"1980-08-19",0.7,20.238,85.042,20.908,897.329,0.693,338.36,10.238,10.036,0.353,4.408,26.41,15.52
NA,233,"1980-08-20",3.25,19.152,90.022,22.751,898.273,0.657,338.36,9.152,10.921,0.295,2.55,24.34,15.43
NA,234,"1980-08-21",2.56,19.551,88.53,23.81,897.672,0.706,338.36,9.551,11.429,0.289,3.08,24.32,15.69
NA,235,"1980-08-22",1.86,19.189,92.293,22.522,896.875,0.616,338.36,9.189,10.811,0.294,1.984,25.81,16.38
NA,236,"1980-08-23",1.17,19.786,87.098,14.855,896.91,0.548,338.36,9.786,7.13,0.438,3.603,25.78,15.69
NA,237,"1980-08-24",3.02,19.158,91.88,16.663,896.169,0.567,338.36,9.158,7.998,0.406,1.947,22.44,16.64
NA,238,"1980-08-25",0.46,21.014,85.163,19.075,894.796,0.634,338.36,11.014,9.156,0.35,4.439,26.27,15.5
NA,239,"1980-08-26",7.23,21.555,84.473,18.446,893.856,0.62,338.36,11.555,8.854,0.367,4.706,27.75,16.46
NA,240,"1980-08-27",5.11,21.659,82.888,16.67,895.213,0.533,338.36,11.659,8.001,0.398,5.209,29.39,16.37
NA,241,"1980-08-28",0.23,22.635,82.542,24.765,895.989,0.762,338.36,12.635,11.887,0.274,5.523,28.31,18.19
NA,242,"1980-08-29",0,20.365,89.159,9.728,895.669,0.451,338.36,10.365,4.669,0.468,2.804,26.32,17.06
NA,243,"1980-08-30",7.21,21.252,84.413,15.631,895.316,0.608,338.36,11.252,7.503,0.416,4.484,28.83,16.42
NA,244,"1980-08-31",0,19.716,89.824,8.212,895.826,0.324,338.36,9.716,3.942,0.514,2.413,23.48,16.57
NA,245,"1980-09-01",1.35,21.989,77.982,15.65,898.66,0.56,338.36,11.989,7.512,0.41,6.086,28.51,18.8
NA,246,"1980-09-02",9.96,21.521,79.199,17.083,898.66,0.742,338.36,11.521,8.2,0.391,5.951,28.55,17.42
NA,247,"1980-09-03",5.82,20.62,84.419,12.888,898.66,0.531,338.36,10.62,6.186,0.457,4.045,25.7,17.33
NA,248,"1980-09-04",5.22,20.738,85.012,16.238,898.66,0.527,338.36,10.738,7.794,0.404,4.041,26.51,17.02
NA,249,"1980-09-05",0.27,22.028,80.535,23.754,898.66,0.653,338.36,12.028,11.402,0.299,5.755,28.7,15.92
NA,250,"1980-09-06",0.09,22.87,82.274,25.415,898.66,0.779,338.36,12.87,12.199,0.261,5.944,29.79,16.53
NA,251,"1980-09-07",3.79,21.855,82.65,22.894,898.66,0.775,338.36,11.855,10.989,0.3,5.45,29.74,17.48
NA,252,"1980-09-08",3.13,20.566,86.341,10.929,898.66,0.535,338.36,10.566,5.246,0.476,3.504,25.73,17.7
NA,253,"1980-09-09",0.03,21.867,78.433,22.948,898.66,0.706,338.36,11.867,11.015,0.278,6.363,28,16.98
NA,254,"1980-09-10",0.09,20.431,88.6,10.106,898.66,0.336,338.36,10.431,4.851,0.478,2.816,24.83,16.94
NA,255,"1980-09-11",0.12,19.981,89.225,8.904,898.66,0.216,338.36,9.981,4.274,0.507,2.582,22.52,16.75
NA,256,"1980-09-12",28.24,21.376,89.655,14.048,898.66,0.644,338.36,11.376,6.743,0.444,3.088,27.12,16.9
NA,257,"1980-09-13",0.03,22.37,84.63,20.67,898.66,0.604,338.36,12.37,9.922,0.332,4.76,28.44,16.85
NA,258,"1980-09-14",0.1,22.409,81.083,16.977,898.66,0.541,338.36,12.409,8.149,0.401,5.727,28.22,17.9
NA,259,"1980-09-15",3.94,21.242,82.67,17.357,898.66,0.67,338.36,11.242,8.331,0.367,4.871,28.32,17.14
NA,260,"1980-09-16",2.33,21.067,83.838,21.782,898.66,0.787,338.36,11.068,10.455,0.317,4.713,28.33,16.74
NA,261,"1980-09-17",4.96,20.122,88.74,11.344,898.66,0.358,338.36,10.123,5.445,0.492,2.774,23.53,16.72
NA,262,"1980-09-18",5.23,20.153,86.718,12.687,898.66,0.419,338.36,10.153,6.09,0.455,3.353,24.42,17.04
NA,263,"1980-09-19",6.88,19.998,88.395,10.716,898.66,0.257,338.36,9.998,5.144,0.444,2.988,25.62,17.59
NA,264,"1980-09-20",0.03,20.876,81.658,20.01,898.66,0.721,338.36,10.876,9.605,0.336,5.09,26.86,15.77
NA,265,"1980-09-21",0.25,21.161,80.324,18.596,898.66,0.702,338.36,11.161,8.926,0.345,5.384,26.62,16.42
NA,266,"1980-09-22",0.1,22.361,77.652,22.892,898.66,1.048,338.36,12.361,10.988,0.299,6.581,28.6,17.87
NA,267,"1980-09-23",10.24,21.944,81.545,19.718,898.66,0.7,338.36,11.944,9.465,0.336,5.824,29.26,17.02
NA,268,"1980-09-24",1.9,22.098,86.014,21.182,898.66,0.77,338.36,12.098,10.167,0.291,4.438,28.91,17.53
NA,269,"1980-09-25",10.61,21.788,85.258,19.727,898.66,0.713,338.36,11.788,9.469,0.317,4.428,28.84,17.74
NA,270,"1980-09-26",1.27,21.061,89.9,13.021,898.66,0.451,338.36,11.061,6.25,0.409,2.889,26.42,18.49
NA,271,"1980-09-27",0.03,22.109,85.942,16.878,898.66,0.373,338.36,12.109,8.101,0.366,4.17,27.87,17.83
NA,272,"1980-09-28",0.42,24.145,86.47,24.4,898.66,0.636,338.36,14.145,11.712,0.229,4.844,30.02,19.65
NA,273,"1980-09-29",0.28,23.602,83.79,21.943,898.66,0.692,338.36,13.602,10.533,0.273,5.399,29.27,18.86
NA,274,"1980-09-30",8.95,21.637,87.832,16.247,898.66,0.635,338.36,11.637,7.799,0.356,3.527,28.12,18.13
NA,275,"1980-10-01",2.76,20.47,87.488,20.632,894.987,0.602,338.36,10.47,9.903,0.274,3.523,25.4,16.31
NA,276,"1980-10-02",46.27,19.945,89.126,18.06,894.458,0.551,338.36,9.945,8.669,0.31,3.195,27.19,14.93
NA,277,"1980-10-03",0.6,19.206,91.367,10.152,895.141,0.218,338.36,9.206,4.873,0.429,2.162,24.26,15.38
NA,278,"1980-10-04",1.18,19.203,89.27,9.787,895.436,0.287,338.36,9.203,4.698,0.446,2.611,23.52,16.23
NA,279,"1980-10-05",4.73,20.657,86.82,18.251,895.157,0.609,338.36,10.658,8.76,0.34,3.946,27.32,15.4
NA,280,"1980-10-06",24.61,21.25,86.258,21.859,895.577,0.689,338.36,11.25,10.492,0.262,4.383,28.55,15.87
NA,281,"1980-10-07",5.72,20.744,87.083,19.088,895.784,0.609,338.36,10.744,9.162,0.306,3.977,28.51,16.07
NA,282,"1980-10-08",0,20.601,85.204,15.018,896.058,0.485,338.36,10.601,7.209,0.377,4.064,25.6,16.22
NA,283,"1980-10-09",3.56,20.555,85.326,21.585,895.998,0.669,338.36,10.555,10.361,0.267,4.572,29.11,15.5
NA,284,"1980-10-10",0,21.315,85.69,21.215,895.657,0.597,338.36,11.315,10.183,0.285,4.298,27.06,15.19
NA,285,"1980-10-11",13.98,19.961,84.873,15.142,894.946,0.535,338.36,9.961,7.268,0.372,4.173,27.61,16
NA,286,"1980-10-12",1.18,19.847,83.505,22.492,895.142,0.665,338.36,9.847,10.796,0.254,4.419,26.6,14.61
NA,287,"1980-10-13",2.17,18.202,87.643,12.114,895.298,0.373,338.36,8.202,5.815,0.429,2.851,23.13,14.76
NA,288,"1980-10-14",0,19.685,83.95,19.055,894.68,0.538,338.36,9.685,9.146,0.321,4.249,25.63,13.97
NA,289,"1980-10-15",31.7,19.109,91.762,10.748,894.795,0.339,338.36,9.109,5.159,0.402,2.202,25.83,15.77
NA,290,"1980-10-16",15.95,19.457,91.12,9.994,895.635,0.399,338.36,9.457,4.797,0.42,2.199,24.25,16.19
NA,291,"1980-10-17",1.77,20.352,87.306,13.759,895.531,0.438,338.36,10.352,6.605,0.394,3.515,26.23,15.91
NA,292,"1980-10-18",4.52,20.026,87.8,19.655,895.289,0.604,338.36,10.026,9.434,0.301,3.56,28.03,15.8
NA,293,"1980-10-19",12,19.604,85.378,19.751,895.016,0.606,338.36,9.604,9.481,0.303,3.978,26.79,14.84
NA,294,"1980-10-20",0.2,19.938,85.74,20.37,895.284,0.574,338.36,9.938,9.778,0.291,3.862,27.09,14.63
NA,295,"1980-10-21",0,19.824,89.919,11.597,895.898,0.329,338.36,9.824,5.566,0.439,2.626,24.2,16.55
NA,296,"1980-10-22",37.2,19.826,87.481,15.874,894.799,0.503,338.36,9.826,7.62,0.357,3.367,25.52,16.34
NA,297,"1980-10-23",0.6,19.254,90.685,12.407,894.076,0.278,338.36,9.254,5.956,0.429,2.424,23.96,15.22
NA,298,"1980-10-24",5.89,19.782,93.686,12.407,894.922,0.384,338.36,9.783,5.956,0.406,1.621,23.96,16.69
NA,299,"1980-10-25",9.46,20.436,89.961,16.84,895.37,0.494,338.36,10.436,8.083,0.357,2.982,26.82,15.99
NA,300,"1980-10-26",0.4,19.742,91.323,14.301,894.924,0.398,338.36,9.742,6.865,0.372,2.465,26.62,14.89
NA,301,"1980-10-27",5.33,20.765,89.538,14.207,895.08,0.326,338.36,10.765,6.82,0.379,2.998,25.5,17.05
NA,302,"1980-10-28",0.8,21.142,89.256,17.145,895.651,0.563,338.36,11.142,8.23,0.332,3.186,27.17,16.73
NA,303,"1980-10-29",0.6,20.817,85.524,19.486,896.084,0.701,338.36,10.817,9.353,0.289,4.366,28.18,15.64
NA,304,"1980-10-30",0.6,20.916,85.972,20.955,895.741,0.568,338.36,10.916,10.058,0.257,4.174,27.29,15.85
NA,305,"1980-10-31",1.4,20.394,84.118,20.7,895.495,0.699,338.36,10.394,9.936,0.259,4.414,27.83,15.97
NA,306,"1980-11-01",17.42,19.282,93.412,12.268,897.288,0.325,338.36,9.282,5.889,0.399,1.736,24.78,16.82
NA,307,"1980-11-02",7.59,20.616,90.145,18.911,897.988,0.521,338.36,10.616,9.077,0.312,2.878,26.83,16.87
NA,308,"1980-11-03",3.26,19.688,91.263,13.878,898.051,0.478,338.36,9.688,6.661,0.387,2.322,24.96,15.6
NA,309,"1980-11-04",0.65,19.383,90.163,11.409,897.711,0.425,338.36,9.383,5.476,0.409,2.541,25.68,15.92
NA,310,"1980-11-05",0.67,19.63,83.094,20.811,897.678,0.677,338.36,9.63,9.989,0.258,4.331,26.49,14.35
NA,311,"1980-11-06",0.31,19.439,88.238,12.362,898.313,0.44,338.36,9.439,5.934,0.407,2.906,23.01,16.26
NA,312,"1980-11-07",4.64,19.672,84.381,15.89,898.478,0.588,338.36,9.672,7.627,0.344,4.003,25.51,14.36
NA,313,"1980-11-08",5.52,19.086,84.241,10.739,898.351,0.23,338.36,9.086,5.155,0.401,4.088,25.61,14.67
NA,314,"1980-11-09",1.22,19.406,89.892,13.499,897.645,0.483,338.36,9.406,6.479,0.378,2.713,25.73,14.69
NA,315,"1980-11-10",15.73,16.969,94.614,4.756,898.378,0.37,338.36,6.969,2.283,0.477,1.004,18.43,15.07
NA,316,"1980-11-11",16.32,18.227,80.053,15.725,899.967,0.699,338.36,8.227,7.548,0.348,4.631,22.89,15.15
NA,317,"1980-11-12",13.51,15.791,97.183,2.95,899.559,0.114,338.36,5.791,1.416,0.479,0.503,16.45,14.83
NA,318,"1980-11-13",20.2,17.45,95.178,8.366,898.401,0.316,338.36,7.45,4.016,0.451,1.045,21.88,14.83
NA,319,"1980-11-14",5.21,18.074,93.284,5.958,897.813,0.133,338.36,8.074,2.86,0.477,1.393,20.41,16.36
NA,320,"1980-11-15",4.96,20.07,90.468,13.152,897.02,0.449,338.36,10.07,6.313,0.401,2.518,25.03,15.45
NA,321,"1980-11-16",8.94,19.372,96.393,8.35,896.834,0.268,338.36,9.372,4.008,0.459,0.901,23.93,16.91
NA,322,"1980-11-17",9.04,19.275,88.774,14.505,897.688,0.538,338.36,9.275,6.963,0.369,2.886,25.81,15.25
NA,323,"1980-11-18",0.4,19.4,85.887,19.676,898.488,0.605,338.36,9.4,9.445,0.274,3.606,25.07,14.76
NA,324,"1980-11-19",0.25,19.408,85.202,17.877,898.549,0.55,338.36,9.408,8.581,0.31,3.807,25.17,14.11
NA,325,"1980-11-20",0.3,20.124,86.766,17.241,898.486,0.608,338.36,10.124,8.276,0.31,3.444,24.35,16.15
NA,326,"1980-11-21",4.59,18.743,93.081,8.257,898.882,0.368,338.36,8.743,3.963,0.458,1.531,21.31,16.4
NA,327,"1980-11-22",8.15,20.01,84.67,20.138,899.255,0.598,338.36,10.01,9.666,0.257,4.458,26.3,15.83
NA,328,"1980-11-23",10.76,18.409,92.866,11.816,899.772,0.579,338.36,8.409,5.672,0.414,1.729,23.62,15.93
NA,329,"1980-11-24",19.67,16.916,98.839,3.955,899.455,0.37,338.36,6.916,1.898,0.479,0.224,18.11,16.04
NA,330,"1980-11-25",46.26,17.447,98.66,3.905,898.176,0.259,338.36,7.447,1.874,0.479,0.269,18.78,15.9
NA,331,"1980-11-26",48.02,18.331,98.284,6.505,897.149,0.303,338.36,8.331,3.122,0.47,0.373,20.47,17.34
NA,332,"1980-11-27",23.14,19.39,96.522,8.314,896.361,0.466,338.36,9.39,3.991,0.445,0.865,22.86,17.55
NA,333,"1980-11-28",7.46,17.742,97.379,5.768,897.682,0.524,338.36,7.742,2.769,0.476,0.539,19.36,14.4
NA,334,"1980-11-29",5.41,17.166,91.369,4.47,899.52,0.339,338.36,7.166,2.146,0.479,2.15,26.03,13.01
NA,335,"1980-11-30",4.85,18.98,87.716,4.414,899.49,0.279,338.36,8.98,2.119,0.479,3.227,24.24,14.33
NA,336,"1980-12-01",4.57,18.051,82.549,13.136,896.152,0.574,338.36,8.051,6.305,0.37,4.23,24.64,13.26
NA,337,"1980-12-02",1.01,18.721,77.769,20.914,895.616,0.638,338.36,8.721,10.039,0.235,6.289,28.86,12.06
NA,338,"1980-12-03",0,19.078,82.282,14.75,896.617,0.467,338.36,9.078,7.08,0.353,4.588,25.43,14.13
NA,339,"1980-12-04",0.25,19.05,77.934,20.718,896.804,0.66,338.36,9.05,9.945,0.233,6.021,26.93,13.28
NA,340,"1980-12-05",2.04,19.372,78.067,19.913,896.583,0.676,338.36,9.372,9.558,0.252,6.355,28.82,12.69
NA,341,"1980-12-06",2.79,20.179,81.347,16.512,896.359,0.6,338.36,10.179,7.926,0.327,5.304,27.86,15.46
NA,342,"1980-12-07",0.25,19.821,79.137,20.284,896.549,0.766,338.36,9.821,9.736,0.231,6.014,28.77,14.28
NA,343,"1980-12-08",8.15,18.113,84.566,12.294,897.003,0.525,338.36,8.113,5.901,0.367,3.573,23.32,14.62
NA,344,"1980-12-09",0,18.602,78.588,20.151,896.589,0.61,338.36,8.602,9.673,0.249,5.971,27.23,12.6
NA,345,"1980-12-10",0.25,18.745,75.526,19.369,897.04,0.609,338.36,8.745,9.297,0.25,6.871,29.04,11.49
NA,346,"1980-12-11",1.01,18.983,82.731,12.921,896.967,0.348,338.36,8.982,6.202,0.386,4.433,24.86,13.65
NA,347,"1980-12-12",20.35,19.435,87.159,11.534,896.706,0.608,338.36,9.435,5.536,0.396,3.379,28.16,16.16
NA,348,"1980-12-13",5.84,19.219,78.843,19.349,895.158,0.532,338.36,9.219,9.288,0.257,5.878,26.52,14.01
NA,349,"1980-12-14",1.01,18.169,86.209,9.654,894.85,0.246,338.36,8.169,4.634,0.436,3.179,23.61,13.88
NA,350,"1980-12-15",13.21,17.978,87.553,9.123,895.167,0.425,338.36,7.978,4.379,0.435,2.933,25.68,14.68
NA,351,"1980-12-16",4.82,18.454,87.162,9.039,895.909,0.496,338.36,8.454,4.339,0.439,3.06,25.25,14.26
NA,352,"1980-12-17",13.73,17.555,90.081,7.877,896.805,0.278,338.36,7.555,3.781,0.455,2.117,22.43,14.76
NA,353,"1980-12-18",26.94,16.883,90.853,5.762,897.388,0.258,338.36,6.883,2.766,0.453,1.817,20.2,13.24
NA,354,"1980-12-19",7.63,17.929,82.801,11.206,896.681,0.586,338.36,7.929,5.379,0.404,4.017,23.11,13.94
NA,355,"1980-12-20",4.31,18.979,80.231,16.67,896.034,0.661,338.36,8.979,8.002,0.304,5.136,26,14.88
NA,356,"1980-12-21",0,18.901,78.699,18.257,895.281,0.603,338.36,8.901,8.764,0.284,5.918,27.8,11.93
NA,357,"1980-12-22",0.25,18.89,78.96,20.745,895.872,0.657,338.36,8.89,9.957,0.222,5.726,27.09,13.19
NA,358,"1980-12-23",0,18.654,76.672,21.501,897.192,0.674,338.36,8.654,10.32,0.215,6.392,27.25,12.93
NA,359,"1980-12-24",0.25,17.264,74.99,18.956,897.727,0.733,338.36,7.264,9.099,0.267,6.482,27.11,11.62
NA,360,"1980-12-25",0.25,18.344,71.103,21.128,896.837,0.612,338.36,8.344,10.141,0.225,8.076,28.79,10.89
NA,361,"1980-12-26",0,18.343,77.177,20.509,897.042,0.763,338.36,8.343,9.844,0.237,5.974,26.91,12.63
NA,362,"1980-12-27",0.25,17.574,76.632,20.746,897.136,0.73,338.36,7.574,9.958,0.232,6.141,27.05,10.98
NA,363,"1980-12-28",0,18.096,77.855,13.472,896.407,0.501,338.36,8.096,6.466,0.365,5.467,25.5,11.01
NA,364,"1980-12-29",5.6,19.108,83.851,16.624,895.995,0.546,338.36,9.108,7.98,0.315,4.271,27,13.64
NA,365,"1980-12-30",1.01,18.72,82.944,13.643,896.616,0.574,338.36,8.72,6.549,0.362,4.335,26.12,13.91
NA,366,"1980-12-31",5.1,17.677,94.653,15.096,896.22,0.774,338.36,7.677,7.246,0.357,1.091,19.76,16.74
NA,1,"1981-01-01",0,17.777,87.238,19.113,895.758,0.717,339.728,7.777,9.174,0.276,2.972,23.01,14.68
NA,2,"1981-01-02",1.14,16.707,96.305,9.538,897.292,0.448,339.728,6.707,4.578,0.435,0.701,18.38,15.33
NA,3,"1981-01-03",5.66,18.36,93.458,14.696,897.735,0.923,339.728,8.36,7.054,0.36,1.473,22.51,16.11
NA,4,"1981-01-04",2.84,18.156,97.515,15.739,897.969,0.781,339.728,8.156,7.555,0.33,0.518,19.93,16.15
NA,5,"1981-01-05",0.57,19.895,87.911,20.648,896.7,0.725,339.728,9.895,9.911,0.244,3.402,26.01,15.79
